INCIDENT INFO,DESCRIPTION,START_DT,MODIFIED_DT,QUADRANT,Longitude,Latitude,location,Count
Westbound Country Hills Boulevard west of Deerfoot Trail NE,Multi-vehicle incident.,05/05/2017 05:25:04 PM,05/05/2017 05:34:22 PM,NE,-114.023205638221,51.1511826847607,"(51.151182684761, -114.023205638221)",1
Centre Street at 23 Avenue NE,Two vehicle incident.,05/26/2017 06:09:35 PM,05/26/2017 06:24:59 PM,NE,-114.062518412381,51.0733052306365,"(51.073305230637, -114.062518412381)",1
4 Street and 13 Avenue SW,There is an incident involving a pedestrian.,06/27/2017 06:05:19 PM,06/27/2017 06:06:13 PM,SW,-114.071481202994,51.040714892298,"(51.040714892298, -114.071481202994)",1
12 Avenue at 8 Street SW,Two vehicle incident.,06/04/2017 12:07:30 AM,06/04/2017 12:09:34 AM,SW,-114.081523679407,51.0419401829678,"(51.041940182968, -114.081523679407)",1
Westbound Stoney Trail to Northbound Deerfoot Trail SE,Single vehicle incident.,07/02/2017 05:37:48 AM,07/02/2017 05:42:48 AM,SE,-113.986616334736,50.8983208574228,"(50.898320857423, -113.986616334736)",1
Southbound Deerfoot Trail approaching 64 Avenue NE,Two vehicle incident.,07/29/2017 03:36:21 PM,07/29/2017 03:39:33 PM,NE,-114.049232563541,51.1106521140099,"(51.11065211401, -114.049232563541)",1
Southbound Deerfoot Trail at 17 Avenue SE,Multi vehicle incident.,03/08/2017 11:01:21 AM,03/08/2017 11:05:21 AM,SE,-114.008611991531,51.0370350874538,"(51.037035087454, -114.008611991531)",1
Southbound Elbow Drive and Glenmore Trail SW,Two vehicle incident. Blocking the middle lane.,07/13/2017 12:38:17 PM,07/13/2017 12:55:22 PM,SW,-114.083916014515,50.9946277261426,"(50.994627726143, -114.083916014515)",1
Falconridge Boulevard at Saddletowne Circle NE,Traffic signals are flashing red.,06/26/2017 08:11:52 PM,06/26/2017 08:12:50 PM,NW,-113.94680396167,51.1220538948636,"(51.122053894864, -113.94680396167)",1
Strathcona Drive at Stranraer Place SW,Two vehicle incident.,05/25/2017 10:57:56 PM,05/25/2017 11:01:10 PM,SW,-114.172051090507,51.0495816956841,"(51.049581695684, -114.172051090507)",1
Northbound 52 Street at Madigan Drive NE,Two vehicle incident. Blocking all northbound lanes.,05/27/2017 01:04:30 PM,05/27/2017 01:07:19 PM,NE,-113.95850095135,51.0621869538691,"(51.062186953869, -113.95850095135)",1
Northbound Sarcee Trail past 112 Avenue NW,2 vehicle incident.,03/15/2017 12:22:39 PM,03/15/2017 12:23:09 PM,NW,-114.16294211009,51.1600012884133,"(51.160001288413, -114.16294211009)",1
Eastbound Stoney Trail at Chaparral Boulevard SE,Two vehicle incident. EB is closed,06/02/2017 09:59:35 AM,06/02/2017 10:18:05 AM,SE,-114.025651493291,50.8889424507033,"(50.888942450703, -114.025651493291)",1
Fairmount Drive at Glenmore Trail SE,Two vehicle incident.,06/12/2017 10:05:42 AM,06/12/2017 10:19:26 AM,SE,-114.063804037219,50.9938414258945,"(50.993841425895, -114.063804037219)",1
Southbound Deerfoot Trail at Cranston Avenue SE,Single vehicle incident.,06/10/2017 08:40:00 PM,06/10/2017 08:55:26 PM,SE,-113.970502522252,50.8794020928052,"(50.879402092805, -113.970502522252)",1
52 Street at 32 Avenue NE,Single vehicle incident.,05/20/2017 12:31:22 AM,05/20/2017 12:33:30 AM,NE,-113.958929748477,51.0815758922191,"(51.081575892219, -113.958929748477)",1
Castleridge Boulevard at Westwinds Drive NE,Single vehicle incident,04/12/2017 07:44:37 AM,04/12/2017 07:46:15 AM,NE,-113.966780217837,51.1086176519583,"(51.108617651958, -113.966780217837)",1
Northbound Deerfoot Trail approaching Anderson Road SE,Single vehicle incident in the right lane.,02/11/2017 11:00:59 AM,02/11/2017 11:23:35 AM,SE,-114.033912316884,50.9483419251775,"(50.948341925178, -114.033912316884)",1
9 Avenue at 1 Street SE,Two vehicle incident.,07/05/2017 01:07:05 AM,07/05/2017 01:25:20 AM,NW,-114.06063693607,51.0445407609619,"(51.044540760962, -114.06063693607)",1
Eastbound Memorial Drive at Deerfoot Trail SE,Multi-vehicle incident. Blocking the right lane.,04/20/2017 11:29:21 AM,04/20/2017 11:31:00 AM,NW,-114.019434255636,51.0488598764172,"(51.048859876417, -114.019434255636)",1
12 Avenue at Centre Street SE,2 vehicle incident.,03/12/2017 06:43:16 PM,03/12/2017 06:44:30 PM,SE,-114.063297707555,51.0414266538668,"(51.041426653867, -114.063297707555)",1
106 Avenue at Barlow Trail SE,"Traffic signals are blank, crews have been dispatched.",03/16/2017 10:58:40 AM,03/16/2017 11:00:33 AM,SE,-113.98153118648,50.9579343484322,"(50.957934348432, -113.98153118648)",1
Country Hills Boulevard at Metis Trail NE,Two vehicle incident.,04/13/2017 05:22:42 PM,04/13/2017 05:25:34 PM,NE,-113.971461619051,51.1542180010021,"(51.154218001002, -113.971461619051)",1
14 Street at 9 Avenue SW,Two vehicle incident.,04/30/2017 02:14:01 AM,04/30/2017 02:16:01 AM,SW,-114.09507612706,51.0456125899513,"(51.045612589951, -114.09507612706)",1
Memorial Drive at 12 Street NE,Single vehicle incident,02/26/2017 06:10:19 AM,02/26/2017 06:11:20 AM,NE,-114.032366799142,51.0482460687699,"(51.04824606877, -114.032366799142)",1
Southbound 36 Street at 5 Avenue NE,Two vehicle incident.,07/02/2017 03:49:13 PM,07/02/2017 04:06:05 PM,NE,-113.982350373128,51.0570153642161,"(51.057015364216, -113.982350373128)",1
Eastbound Canyon Meadows Drive at Lake Fraser Drive SE,2 vehicle incident.,04/02/2017 05:12:49 PM,04/02/2017 05:14:08 PM,SE,-114.066436682472,50.9305738947399,"(50.93057389474, -114.066436682472)",1
Southbound Deerfoot Trail approaching 17 Avenue SE,Two vehicle incident.,07/13/2017 08:17:39 AM,07/13/2017 08:24:37 AM,NW,-114.008358722207,51.0423458851533,"(51.042345885153, -114.008358722207)",1
Southbound Deerfoot Trail approaching 64 Avenue NE,Two vehicle incident. Blocking the left lane.,05/08/2017 08:58:45 AM,05/08/2017 09:01:06 AM,NE,-114.049232563541,51.1106521140099,"(51.11065211401, -114.049232563541)",1
Southbound 14 Street at 75 Avenue SW,Two vehicle incident. Blocking two left lanes.,08/03/2017 10:08:44 PM,08/03/2017 10:11:01 PM,SW,-114.094967663652,50.9881497430417,"(50.988149743042, -114.094967663652)",1
Ogden Road and 42 Avenue SE,Multi-vehicle incident.,08/03/2017 12:22:32 PM,08/03/2017 12:23:04 PM,NW,-114.015549269104,51.0154891479319,"(51.015489147932, -114.015549269104)",1
12 Avenue at 5 Street SW,Two vehicle incident.,07/11/2017 10:31:10 PM,07/11/2017 10:32:15 PM,SW,-114.074146627015,51.0417337470191,"(51.041733747019, -114.074146627015)",1
37 Street at 26 Avenue SW,The traffic lights are blank. The crews have been dispatched.,02/17/2017 10:19:11 AM,02/17/2017 10:20:49 AM,SW,-114.14113392099,51.0300518993946,"(51.030051899395, -114.14113392099)",1
52 Street at 23 Avenue SE,Two vehicle incident.,06/01/2017 05:52:52 PM,06/01/2017 05:54:10 PM,SE,-113.958381075472,51.0321553705113,"(51.032155370511, -113.958381075472)",1
Blackfoot Trail and Glenmore Trail SE,Two vehicle incident. In the right lane.,06/30/2017 02:17:00 PM,06/30/2017 02:25:50 PM,SE,-114.056911752152,50.9939810922884,"(50.993981092288, -114.056911752152)",1
26 Street north of 17 Avenue SW,Multi-vehicle incident.,02/22/2017 02:25:32 PM,02/22/2017 02:26:49 PM,SW,-114.123648174586,51.0378078409054,"(51.037807840905, -114.123648174586)",1
Southbound Blackfoot Trail at 58 Street SE,Single vehicle incident.,03/15/2017 07:45:30 AM,03/15/2017 07:50:01 AM,SE,-114.049292578978,51.0014583207631,"(51.001458320763, -114.049292578978)",1
Nose Hill Drive at Scenic Acres Boulevard NW,Two vehicle incident.,01/09/2018 11:03:32 AM,01/09/2018 11:04:40 AM,NW,-114.205381440139,51.1176309487517,"(51.117630948752, -114.205381440139)",1
37 Street at 46 Avenue SW,Single vehicle incident.,04/03/2017 05:10:04 PM,04/03/2017 05:10:59 PM,SW,-114.141147607986,51.012448914478,"(51.012448914478, -114.141147607986)",1
52 Street at Copperfield Gate SE,Traffic signals are flashing red.,05/11/2017 04:41:16 PM,05/11/2017 04:43:02 PM,SE,-113.949472077833,50.9104576427538,"(50.910457642754, -113.949472077833)",1
Bow Bottom Trail at Deerfoot Trail SE,Single vehicle incident,02/16/2017 09:19:42 PM,02/16/2017 09:20:55 PM,SE,-114.023891174022,50.9527458497239,"(50.952745849724, -114.023891174022)",1
Eastbound 16 Avenue at 12 Street NW,Two vehicle incident. Blocking the left lane.,07/05/2017 04:51:15 PM,07/05/2017 04:53:09 PM,NW,-114.089835485221,51.0668196136688,"(51.066819613669, -114.089835485221)",1
Northbound Crowchild Trail at University Drive NW,Stalled vehicle,03/03/2017 06:13:06 PM,03/03/2017 06:14:29 PM,NW,-114.11794097485,51.0625372911908,"(51.062537291191, -114.11794097485)",1
Bowness Road at 16 Avenue NW,Two vehicle incident,04/11/2017 04:32:58 PM,04/11/2017 04:34:15 PM,NW,-114.152846073026,51.0668929198708,"(51.066892919871, -114.152846073026)",1
Northbound Barlow Trail at Memorial Drive NE,2 vehicle incident.,02/23/2017 08:49:41 PM,02/23/2017 08:51:09 PM,NE,-114.002663366037,51.0456279460694,"(51.045627946069, -114.002663366037)",1
Eastbound 9 Avenue at 12 Street SE,Two vehicle incident.,06/28/2017 05:52:20 PM,06/28/2017 05:53:33 PM,NW,-114.034347713609,51.0412544574978,"(51.041254457498, -114.034347713609)",1
Southbound Deerfoot Trail off ramp to eastbound 16 Avenue NE,2 vehicle incident in the right lane.,03/10/2017 11:58:29 AM,03/10/2017 12:06:47 PM,NE,-114.028551292521,51.0673798693422,"(51.067379869342, -114.028551292521)",1
Southbound Deerfoot Trail approaching Glenmore Trail SE,2 vehicle incident,02/15/2017 04:30:43 PM,02/15/2017 04:44:31 PM,SE,-114.0344527258,50.9965267981236,"(50.996526798124, -114.0344527258)",1
69 Street at 17 Avenue SW,Two vehicle incident.,06/07/2017 06:24:30 PM,06/07/2017 06:25:51 PM,SW,-114.188155477225,51.0380039801124,"(51.038003980112, -114.188155477225)",1
80 Avenue and 52 Street NE,Two vehicle incident.,05/27/2017 10:49:55 PM,05/27/2017 10:50:24 PM,NE,-113.95841647117,51.1252476651629,"(51.125247665163, -113.95841647117)",1
Northbound Macleod Trail at Southland Drive SE,Two vehicle incident. Blocking the right lane,07/23/2017 07:17:10 PM,07/23/2017 07:19:07 PM,SE,-114.071735504013,50.9650849940053,"(50.965084994005, -114.071735504013)",1
Eastbound Country Hills Boulevard at Stoney Trail NW,Two vehicle incident.  On the ramp to SB Stoney Trail,07/04/2017 07:17:44 PM,07/04/2017 07:29:34 PM,NW,-114.206171084469,51.1451784928588,"(51.145178492859, -114.206171084469)",1
Northbound Barlow Trail approaching 16 Avenue NE,Two vehicle incident. Blocking the right lane.,05/16/2017 08:39:58 PM,05/16/2017 08:41:20 PM,NE,-114.007756083027,51.0670118241574,"(51.067011824157, -114.007756083027)",1
Berkshire Boulevard at Santana Road NW,Two vehicle incident.,05/13/2017 08:05:22 PM,05/13/2017 08:06:32 PM,NW,-114.084925672432,51.1361170139126,"(51.136117013913, -114.084925672432)",1
Northbound Deerfoot Trail at Glenmore Trail SE,Single vehicle incident.,03/12/2017 07:04:56 PM,03/12/2017 07:06:27 PM,SE,-114.039173086226,50.9941566757218,"(50.994156675722, -114.039173086226)",1
Southbound Deerfoot Trail at Peigan Trail SE,2 vehicle incident,03/09/2017 08:47:39 AM,03/09/2017 08:48:44 AM,SE,-114.005256240554,51.01500137989,"(51.01500137989, -114.005256240554)",1
Southbound Shaganappi Trail at Crowchild Trail NW,Two vehicle incident. Blocking 2 right lanes SB.,04/17/2017 05:37:05 PM,04/17/2017 05:54:44 PM,NW,-114.152734549261,51.1001944351718,"(51.100194435172, -114.152734549261)",1
Glenmore Trail and Blackfoot Trail SE,Two vehicle incident.,06/29/2017 02:47:54 PM,06/29/2017 02:54:29 PM,SE,-114.056911752152,50.9939810922884,"(50.993981092288, -114.056911752152)",1
Eastbound 16 Avenue at Shaganappi Trail NW,2 vehicle incident.,03/01/2017 07:19:16 AM,03/01/2017 07:20:36 AM,NW,-114.148633390601,51.0660671638918,"(51.066067163892, -114.148633390601)",1
4 Avenue at 11 Street SW,Traffic signals are stuck on red. Crews have been dispatched.,03/31/2017 09:07:27 AM,03/31/2017 09:20:28 AM,SW,-114.088319674554,51.0488028626609,"(51.048802862661, -114.088319674554)",1
Northbound Edmonton Trail at Greenview Drive NE,2 vehicle incident.,02/28/2017 08:21:43 AM,02/28/2017 08:23:33 AM,NE,-114.052508872094,51.0913529735098,"(51.09135297351, -114.052508872094)",1
52 Street and Erin Woods Drive SE,Two vehicle incident.,08/08/2017 02:46:09 PM,08/08/2017 03:06:04 PM,NW,-113.958812220143,51.0191032862441,"(51.019103286244, -113.958812220143)",1
Center Street at 4 Avenue SE,Two vehicle incident.,05/10/2017 09:16:48 PM,05/10/2017 09:18:01 PM,SE,-114.062732576575,51.0493287542224,"(51.049328754222, -114.062732576575)",1
Southbound Deerfoot Trail approaching Beddington Trail NE,Single vehicle incident.,06/25/2017 10:34:06 PM,06/25/2017 10:49:32 PM,NE,-114.046086701947,51.1292516558666,"(51.129251655867, -114.046086701947)",1
Northbound 14 Street at Rosevale Drive NW,Two vehicle incident.,06/09/2017 02:38:16 PM,06/09/2017 02:39:16 PM,NW,-114.094732588417,51.0804261397969,"(51.080426139797, -114.094732588417)",1
Ranchlands Boulevard at Nose Hill Drive NW,2 vehicle incident,03/04/2017 11:16:24 PM,03/04/2017 11:18:01 PM,NW,-114.198158253845,51.1241536090093,"(51.124153609009, -114.198158253845)",1
Southbound Crowchild Trail at Bow Trail SW,The right lane is closed due to an ongoing incident.,07/17/2017 11:08:21 AM,07/17/2017 11:10:45 AM,SW,-114.113334946366,51.0440996098718,"(51.044099609872, -114.113334946366)",1
Westbound Crowchild Trail at 24 Avenue NW,Two vehicle incident.,07/14/2017 12:26:26 PM,07/14/2017 12:27:53 PM,NW,-114.119444842227,51.0744303064741,"(51.074430306474, -114.119444842227)",1
Southbound Deerfoot Trail at Memorial Drive NE,Single vehicle incident blocking the right exit lanes.,03/24/2017 06:59:05 AM,03/24/2017 07:06:38 AM,NE,-114.018931928376,51.0505518251903,"(51.05055182519, -114.018931928376)",1
Eastbound Memorial Drive at Deerfoot Trail SE,Two vehicle incident.,05/14/2017 05:44:11 PM,05/14/2017 05:45:23 PM,SE,-114.019434255636,51.0488598764172,"(51.048859876417, -114.019434255636)",1
Northbound Macleod Trail and 75 Avenue SW,Two vehicle incident. In the left lane.,07/11/2017 12:04:36 PM,07/11/2017 12:20:10 PM,NW,-114.071857432939,50.9859808169039,"(50.985980816904, -114.071857432939)",1
McKnight Boulevard at 68 Street NE,Two vehicle incident.,06/03/2017 02:53:36 PM,06/03/2017 03:12:16 PM,NE,-113.937278593851,51.0961637010527,"(51.096163701053, -113.937278593851)",1
Westbound 32 Avenue at Deerfoot Trail NE,2 vehicle incident blocking the right lane,03/08/2017 06:04:42 AM,03/08/2017 06:18:10 AM,NE,-114.038032334448,51.0866364874556,"(51.086636487456, -114.038032334448)",1
Country Hills Boulevard at Shaganappi Trail NW,Multi vehicle incident.,03/14/2017 10:48:44 PM,03/14/2017 10:50:19 PM,NW,-114.126178816235,51.1420080609108,"(51.142008060911, -114.126178816235)",1
Southbound Deerfoot Trail at Beddington Trail NE,Multi-vehicle incident. Blocking two lanes.,06/20/2017 05:56:10 PM,06/20/2017 05:59:00 PM,NE,-114.046154501515,51.1221656601744,"(51.122165660174, -114.046154501515)",1
Eastbound Glenmore Trail at 69 Street SW,Multi-vehicle incident. The road is closed eastbound,06/16/2017 06:08:38 PM,06/16/2017 06:20:14 PM,SW,-114.196269975721,51.0137869291182,"(51.013786929118, -114.196269975721)",1
Northbound Deerfoot Trail at 16 Avenue NE,Two vehicle incident. Blocking the left lane.,05/26/2017 06:20:09 PM,05/26/2017 06:24:59 PM,NE,-114.028551292521,51.0673798693422,"(51.067379869342, -114.028551292521)",1
Northbound Stoney Trail at Country Hills Boulevard NE,Single vehicle incident.,02/20/2017 08:51:27 AM,02/20/2017 08:52:57 AM,NE,-113.928899564551,51.1543479324076,"(51.154347932408, -113.928899564551)",1
Northbound Macleod Trail approaching Southland Drive SE,Two vehicle incident. Blocking the middle lane.,06/07/2017 01:15:21 PM,06/07/2017 01:23:18 PM,SE,-114.071735504013,50.9650849940053,"(50.965084994005, -114.071735504013)",1
Southbound Deerfoot Trail after Peigan Trail SE,Multi vehicle incident blocking the left lane.,04/07/2017 03:36:46 PM,04/07/2017 03:48:22 PM,SE,-114.009791020255,51.0107049608108,"(51.010704960811, -114.009791020255)",1
Southbound Deerfoot Trail onto Eastbound Country Hills Boulevard NE,Single vehicle incident.,07/10/2017 11:35:24 AM,07/10/2017 11:36:44 AM,NE,-114.019700976758,51.1543985357225,"(51.154398535723, -114.019700976758)",1
Macleod Trail at 86 Avenue SE,"Signal light are flashing red, crews have been dispatched.",02/11/2017 12:08:57 PM,02/11/2017 12:09:55 PM,NW,-114.071692939683,50.9759071805882,"(50.975907180588, -114.071692939683)",1
32 Avenue at 31 Street NW,". Traffic signals are blank, crews have been dispatched.",04/17/2017 07:10:12 PM,04/17/2017 07:22:33 PM,NW,-114.130589156594,51.0815490981444,"(51.081549098144, -114.130589156594)",1
Northbound Shaganappi Trail at 32 Avenue NW,Single vehicle incident.,04/03/2017 10:38:55 PM,04/03/2017 10:40:16 PM,NW,-114.152679928868,51.0815282691386,"(51.081528269139, -114.152679928868)",1
Glenmore Trail at Ogden Road SE,2 vehicle incident.,03/13/2017 07:10:35 PM,03/13/2017 07:12:47 PM,SE,-113.998966127967,50.979584263212,"(50.979584263212, -113.998966127967)",1
South Road and Harvest Hills Boulevard NE,Two vehicle incident.,07/29/2017 06:31:13 PM,07/29/2017 06:32:39 PM,NE,-114.071585269131,51.1398216501115,"(51.139821650112, -114.071585269131)",1
Northbound Crowchild Trail approaching Bow Trail SW,Single vehicle incident. Blocking the left lane.,06/17/2017 01:09:24 PM,06/17/2017 01:11:49 PM,SW,-114.115033311174,51.0423506150612,"(51.042350615061, -114.115033311174)",1
Shawnessy Blvd at Shawville Blvd SE,Traffic signals are flashing red. Crews have been dispatched,06/18/2017 07:54:59 PM,06/18/2017 07:56:36 PM,SE,-114.069753115267,50.9129738237198,"(50.91297382372, -114.069753115267)",1
17 Avenue at 45 Street SW,Multi-vehicle incident.,04/22/2017 04:14:27 PM,04/22/2017 04:18:17 PM,SW,-114.152816649302,51.0378028280234,"(51.037802828023, -114.152816649302)",1
Eastbound Memorial Drive and Deerfoot Trail SE,Multi-vehicle incident. Blocking 2 right lanes,07/08/2017 11:03:47 AM,07/08/2017 11:15:28 AM,SE,-114.019434255636,51.0488598764172,"(51.048859876417, -114.019434255636)",1
Saddletowne Circle at Falconridge Boulevard NE,Traffic signals are flashing red. Crews have been dispatched,07/01/2017 10:29:31 AM,07/01/2017 10:33:28 AM,NE,-113.94680396167,51.1220538948636,"(51.122053894864, -113.94680396167)",1
Southbound Elbow Drive overpass at Glenmore Trail SW,2 vehicle incident.,03/14/2017 09:22:40 AM,03/14/2017 09:25:09 AM,SW,-114.08324743727,50.9945219448464,"(50.994521944846, -114.08324743727)",1
Eastbound Richmond Road at Sarcee Trail SW,Multi-vehicle incident.,06/14/2017 03:15:17 PM,06/14/2017 03:24:35 PM,SW,-114.166911166039,51.0180695293347,"(51.018069529335, -114.166911166039)",1
Eastbound Memorial Drive at 9 Street NE,Two vehicle incident.,06/16/2017 11:45:34 AM,06/16/2017 11:47:44 AM,NE,-114.040399958667,51.0488652078553,"(51.048865207855, -114.040399958667)",1
Southbound 1 Street and 12 Avenue SE,Two vehicle incident.  Blocking 2 right lanes,06/26/2017 02:30:47 PM,06/26/2017 02:49:14 PM,SE,-114.060865354694,51.0413575562084,"(51.041357556208, -114.060865354694)",1
16 Avenue at 36 Street SE,Two vehicle incident.,06/23/2017 03:59:26 PM,06/23/2017 04:17:48 PM,SE,-113.981650963132,51.0393953900949,"(51.039395390095, -113.981650963132)",1
